,WikiART General,WikiART General/Portrait,WikiART General/Landscape,WikiART General/Other
abstract-expressionism,706,30,25,651
baroque,160,10,5,145
ecole-de-paris,842,384,68,390
expressionism,1783,573,166,1044
impressionism,6830,1675,1985,3170
naive-art-primitivism,360,75,25,260
neo-impressionism,1129,99,481,549
neoclassicism,1406,761,65,580
post-impressionism,3699,565,1069,2065
pre-raphaelite-brotherhood,410,119,10,281
realism,5648,1736,1239,2673
rococo,1691,883,41,767
romanticism,4305,1081,855,2369
surrealism,612,67,78,467
symbolism,2703,381,657,1665
All,25612,6126,5872,13614
